Well_ID,Well_Name,Field_Location,Date,Oil_Production_BBL,Gas_Production_MSCF,Water_Cut_Percentage,Downtime_Hours,Equipment_Status
WELL_001,Delta-A-01,Niger Delta Offshore,1/30/2024,2648,8752,12.9,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/31/2024,671,1631,12.94,15,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,2/1/2024,2608,8749,12.96,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/2/2024,2605,8776,12.98,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/3/2024,2635,8822,13,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/4/2024,2579,8889,13.02,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/5/2024,2564,8727,13.04,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/6/2024,510,2191,13.08,15,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,2/7/2024,2638,8688,13.12,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,2/8/2024,2611,8830,13.14,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/9/2024,2583,8809,13.17,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/10/2024,2600,8857,13.22,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/11/2024,2558,8767,13.27,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,2/12/2024,2542,8723,13.32,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,2/13/2024,8,1682,13.36,20,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,2/14/2024,1784,6165,13.4,9,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,2/15/2024,2623,8781,13.41,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,2/16/2024,337,956,13.43,11,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,2/17/2024,2558,8713,13.47,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/18/2024,2553,8791,13.51,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,2/19/2024,2557,8819,13.55,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/20/2024,2562,8686,13.6,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/21/2024,2598,8854,13.62,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/22/2024,2597,8704,13.63,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,2/23/2024,45,2565,13.65,22,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,2/24/2024,496,301,13.7,22,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,2/25/2024,190,2300,13.73,13,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,2/26/2024,2548,8672,13.75,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,2/27/2024,2575,8669,13.77,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,2/28/2024,638,154,13.79,11,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,2/29/2024,2536,8684,13.83,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/1/2024,2553,8738,13.85,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/2/2024,35,684,13.87,19,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,3/3/2024,2539,8750,13.89,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,3/4/2024,2611,8824,13.9,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,3/5/2024,2545,8689,13.95,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,3/6/2024,2538,8683,13.98,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/7/2024,2582,8735,14.01,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/8/2024,1827,6014,14.05,7,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,3/9/2024,2550,8770,14.09,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,3/10/2024,2574,8711,14.1,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/11/2024,2528,8759,14.13,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/12/2024,95,1141,14.17,11,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,3/13/2024,271,1212,14.21,10,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,3/14/2024,2583,8689,14.24,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/15/2024,1756,6022,14.26,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,3/16/2024,1796,6095,14.27,7,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,3/17/2024,1759,6050,14.3,7,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,3/18/2024,179,2489,14.33,13,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,3/19/2024,2528,8627,14.37,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/20/2024,2543,8685,14.41,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,3/21/2024,2544,8788,14.44,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/22/2024,2543,8765,14.48,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,3/23/2024,2604,8641,14.5,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/24/2024,2589,8683,14.52,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/25/2024,2541,8706,14.54,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,3/26/2024,2582,8746,14.55,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,3/27/2024,1754,6067,14.58,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,3/28/2024,1816,5963,14.6,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,3/29/2024,2566,8620,14.62,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,3/30/2024,1814,6028,14.65,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,3/31/2024,2592,8665,14.67,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,4/1/2024,2563,8724,14.68,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,4/2/2024,505,1390,14.7,13,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,4/3/2024,2552,8696,14.71,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/4/2024,1750,6022,14.76,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,4/5/2024,2504,8732,14.81,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/6/2024,2574,8576,14.85,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/7/2024,1716,6081,14.89,9,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,4/8/2024,2562,8568,14.92,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,4/9/2024,341,499,14.94,22,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,4/10/2024,69,1810,14.98,13,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,4/11/2024,2584,8576,14.99,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/12/2024,2585,8681,15,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/13/2024,1743,5896,15.04,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,4/14/2024,368,823,15.07,21,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,4/15/2024,684,2220,15.08,21,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,4/16/2024,2565,8711,15.12,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,4/17/2024,2538,8559,15.14,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,4/18/2024,2491,8687,15.18,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/19/2024,2503,8741,15.2,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/20/2024,2579,8703,15.23,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/21/2024,2578,8638,15.28,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,4/22/2024,2502,8696,15.31,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/23/2024,2497,8579,15.32,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,4/24/2024,449,9,15.37,14,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,4/25/2024,2516,8647,15.41,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,4/26/2024,281,62,15.44,20,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,4/27/2024,1726,5965,15.45,8,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,4/28/2024,2535,8529,15.48,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,4/29/2024,770,1460,15.52,15,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,4/30/2024,82,1168,15.54,19,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,5/1/2024,2523,8521,15.56,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/2/2024,1781,5952,15.57,5,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,5/3/2024,2479,8636,15.59,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/4/2024,2569,8568,15.63,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/5/2024,2560,8651,15.67,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/6/2024,737,1329,15.7,21,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,5/7/2024,2536,8557,15.73,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/8/2024,1714,5951,15.78,7,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,5/9/2024,1739,5988,15.81,5,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,5/10/2024,2505,8505,15.83,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/11/2024,2545,8612,15.87,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/12/2024,2544,8613,15.9,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/13/2024,2493,8688,15.95,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/14/2024,2528,8613,15.97,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/15/2024,2509,8550,15.98,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/16/2024,2478,8577,16.03,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/17/2024,2492,8558,16.04,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/18/2024,2520,8577,16.06,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/19/2024,2499,8482,16.07,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/20/2024,2510,8606,16.12,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/21/2024,2540,8607,16.16,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/22/2024,2468,8478,16.2,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/23/2024,2478,8511,16.23,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/24/2024,2487,8510,16.26,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/25/2024,2503,8494,16.3,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/26/2024,2525,8576,16.33,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,5/27/2024,2465,8633,16.36,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/28/2024,2462,8643,16.39,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/29/2024,2525,8582,16.41,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/30/2024,2459,8553,16.43,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,5/31/2024,1669,5830,16.46,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,6/1/2024,321,467,16.51,15,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,6/2/2024,2546,8632,16.55,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/3/2024,2477,8630,16.59,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,6/4/2024,2519,8468,16.61,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,6/5/2024,2451,8537,16.65,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/6/2024,2549,8522,16.68,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,6/7/2024,2458,8448,16.69,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/8/2024,2449,8525,16.71,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/9/2024,2522,8582,16.74,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,6/10/2024,1727,5841,16.78,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,6/11/2024,2520,8572,16.8,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/12/2024,2508,8583,16.81,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/13/2024,2457,8491,16.83,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/14/2024,2521,8583,16.88,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,6/15/2024,1672,5809,16.9,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,6/16/2024,2479,8522,16.94,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,6/17/2024,2537,8617,16.98,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/18/2024,2490,8619,17.02,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/19/2024,2503,8434,17.07,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/20/2024,2465,8581,17.12,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,6/21/2024,2464,8598,17.13,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,6/22/2024,2441,8536,17.17,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/23/2024,1735,5933,17.2,7,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,6/24/2024,2482,8477,17.24,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/25/2024,2470,8443,17.28,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,6/26/2024,2507,8509,17.31,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/27/2024,2478,8510,17.33,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/28/2024,2520,8512,17.37,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,6/29/2024,323,1863,17.4,13,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,6/30/2024,2439,8448,17.44,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/1/2024,1664,5738,17.46,6,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,7/2/2024,2482,8450,17.48,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/3/2024,2442,8540,17.51,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/4/2024,2484,8506,17.54,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/5/2024,2516,8462,17.59,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/6/2024,2516,8402,17.62,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,7/7/2024,2478,8535,17.65,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/8/2024,2456,8558,17.69,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,7/9/2024,2508,8428,17.71,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/10/2024,2508,8440,17.76,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/11/2024,2434,8554,17.78,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,7/12/2024,2449,8422,17.79,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/13/2024,1649,5714,17.83,6,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,7/14/2024,2511,8482,17.86,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/15/2024,1631,5717,17.9,7,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,7/16/2024,1703,5817,17.93,5,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,7/17/2024,2448,8541,17.98,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,7/18/2024,2482,8548,18.01,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/19/2024,2482,8410,18.04,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,7/20/2024,2510,8445,18.08,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/21/2024,1662,5879,18.1,7,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,7/22/2024,2419,8427,18.11,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,7/23/2024,1642,5729,18.15,8,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,7/24/2024,1643,5702,18.17,8,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,7/25/2024,2422,8367,18.21,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,7/26/2024,1719,5740,18.23,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,7/27/2024,279,592,18.27,21,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,7/28/2024,127,735,18.3,16,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,7/29/2024,2447,8533,18.33,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/30/2024,2410,8491,18.37,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,7/31/2024,2480,8405,18.41,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/1/2024,1654,5709,18.44,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,8/2/2024,2490,8448,18.45,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/3/2024,2409,8497,18.48,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/4/2024,2412,8500,18.52,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/5/2024,2447,8389,18.54,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/6/2024,2453,8359,18.58,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/7/2024,2410,8485,18.62,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/8/2024,2497,8374,18.66,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/9/2024,2431,8353,18.69,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/10/2024,2478,8505,18.74,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/11/2024,2462,8386,18.75,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/12/2024,2438,8415,18.78,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/13/2024,2439,8488,18.8,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/14/2024,2438,8494,18.85,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/15/2024,1660,5694,18.86,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,8/16/2024,1685,5763,18.9,8,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,8/17/2024,2403,8444,18.93,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/18/2024,15,710,18.98,19,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,8/19/2024,2397,8311,19,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/20/2024,2461,8354,19.05,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/21/2024,2427,8439,19.08,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/22/2024,2411,8399,19.09,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/23/2024,1639,5814,19.12,6,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,8/24/2024,2390,8380,19.15,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/25/2024,2427,8393,19.17,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/26/2024,2414,8296,19.2,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/27/2024,38,813,19.23,20,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,8/28/2024,2440,8295,19.27,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/29/2024,2407,8380,19.3,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,8/30/2024,2426,8417,19.33,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,8/31/2024,2417,8426,19.35,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,9/1/2024,398,963,19.37,18,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,9/2/2024,1634,5735,19.39,8,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,9/3/2024,1652,5686,19.44,6,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,9/4/2024,583,1333,19.48,20,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,9/5/2024,2474,8320,19.5,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/6/2024,773,1796,19.53,17,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,9/7/2024,1607,5723,19.56,6,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,9/8/2024,2456,8319,19.61,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/9/2024,1598,5717,19.65,9,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,9/10/2024,2470,8264,19.7,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,9/11/2024,2380,8446,19.74,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/12/2024,2411,8274,19.78,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/13/2024,2449,8285,19.8,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/14/2024,2439,8282,19.82,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,9/15/2024,1661,5699,19.85,8,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,9/16/2024,2425,8308,19.87,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,9/17/2024,2400,8245,19.9,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/18/2024,2425,8296,19.92,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/19/2024,1630,5747,19.93,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,9/20/2024,1621,5633,19.96,8,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,9/21/2024,1607,5680,19.98,5,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,9/22/2024,2365,8306,20.01,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/23/2024,2408,8382,20.06,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/24/2024,2421,8417,20.09,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,9/25/2024,2390,8422,20.12,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/26/2024,1631,5642,20.17,7,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,9/27/2024,1667,5629,20.19,7,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,9/28/2024,1580,5677,20.22,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,9/29/2024,2407,8229,20.26,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,9/30/2024,2455,8393,20.3,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,10/1/2024,2361,8322,20.33,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/2/2024,2381,8383,20.36,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,10/3/2024,2393,8222,20.4,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/4/2024,2355,8380,20.44,3,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/5/2024,2433,8329,20.46,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/6/2024,2431,8302,20.49,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/7/2024,1566,5542,20.52,8,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,10/8/2024,2385,8261,20.56,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/9/2024,2429,8222,20.61,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/10/2024,2401,8201,20.65,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,10/11/2024,2350,8284,20.67,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/12/2024,557,526,20.69,19,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,10/13/2024,2430,8196,20.71,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/14/2024,2347,8273,20.74,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,10/15/2024,2365,8201,20.78,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,10/16/2024,2381,8213,20.81,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,10/17/2024,1596,5657,20.85,9,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,10/18/2024,2418,8298,20.89,0,Active
